component_name,instance_name,original_cad_path,resolved_path,original_extension,native_output_path,conversion_status,open_status,save_status,error_message,notes
scan_station_reference,scan_station_reference_v1,03_cad/custom_parts/scan_station/scan_station_reference_block.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\scan_station\scan_station_reference_block.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
barcode_scanner,barcode_scanner_v1,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\barcode_scanner\Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
photoelectric_sensor,photoelectric_sensor_v1,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\sensors\Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
limit_switch_x_home,limit_switch_x_home_v1,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\sensors\OMRON_D4N_roller_lever_limit_switch_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
limit_switch_y_home,limit_switch_y_home_v1,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\sensors\OMRON_D4N_roller_lever_limit_switch_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
limit_switch_z_home,limit_switch_z_home_v1,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\sensors\OMRON_D4N_roller_lever_limit_switch_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
cable_chain_xz,cable_chain_xz_v1,03_cad/standard_parts/downloaded/cable_chain/MISUMI_MHPKS204_cable_carrier_R38_18links_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\cable_chain\MISUMI_MHPKS204_cable_carrier_R38_18links_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
emergency_stop_placeholder,emergency_stop_placeholder_v1,03_cad/standard_parts/placeholders/safety/emergency_stop_visual_placeholder_v1.sldprt,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\placeholders\safety\emergency_stop_visual_placeholder_v1.sldprt,.sldprt,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
control_box_placeholder,control_box_placeholder_v1,03_cad/custom_parts/control_box/control_box_placeholder_160x120x80.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\control_box\control_box_placeholder_160x120x80.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
y_axis_sync_mechanism,y_axis_sync_shaft_placeholder_v1,03_cad/custom_parts/y_axis_sync_mechanism/y_axis_sync_shaft_placeholder.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\y_axis_sync_mechanism\y_axis_sync_shaft_placeholder.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
sample_tube_instances_input_demo,sample_tube_input_demo_instances,03_cad/custom_parts/sample_tube/*.step,,,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,
sample_tube_instances_output_demo,sample_tube_output_demo_instances,03_cad/custom_parts/sample_tube/*.step,,,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,
