component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_y_timing_belt_inner_run,y_axis_pulley_belt_paths_v1,matte_black_timing_belt_concept,drive_belt,0.01,0.01,0.012,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
left_y_carriage_belt_clamp_marker,y_axis_pulley_belt_paths_v1,dark_carriage_belt_clamp_marker,drive_belt_clamp,0.08,0.08,0.085,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
right_y_drive_pulley,y_axis_pulley_belt_paths_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
right_y_front_idler_pulley,y_axis_pulley_belt_paths_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
right_y_timing_belt_outer_run,y_axis_pulley_belt_paths_v1,matte_black_timing_belt_concept,drive_belt,0.01,0.01,0.012,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
right_y_timing_belt_inner_run,y_axis_pulley_belt_paths_v1,matte_black_timing_belt_concept,drive_belt,0.01,0.01,0.012,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
right_y_carriage_belt_clamp_marker,y_axis_pulley_belt_paths_v1,dark_carriage_belt_clamp_marker,drive_belt_clamp,0.08,0.08,0.085,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
x_drive_pulley,x_axis_pulley_belt_path_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:x_axis_pulley_belt_path_v1,belt_pulley_path; simplified X drive/idler pulley and timing belt path along X-axis module
x_idler_pulley,x_axis_pulley_belt_path_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:x_axis_pulley_belt_path_v1,belt_pulley_path; simplified X drive/idler pulley and timing belt path along X-axis module
x_timing_belt_upper_run,x_axis_pulley_belt_path_v1,matte_black_timing_belt_concept,drive_belt,0.01,0.01,0.012,1.0,generated:x_axis_pulley_belt_path_v1,belt_pulley_path; simplified X drive/idler pulley and timing belt path along X-axis module
x_timing_belt_lower_run,x_axis_pulley_belt_path_v1,matte_black_timing_belt_concept,drive_belt,0.01,0.01,0.012,1.0,generated:x_axis_pulley_belt_path_v1,belt_pulley_path; simplified X drive/idler pulley and timing belt path along X-axis module
x_carriage_belt_clamp_marker,x_axis_pulley_belt_path_v1,dark_carriage_belt_clamp_marker,drive_belt_clamp,0.08,0.08,0.085,1.0,generated:x_axis_pulley_belt_path_v1,belt_pulley_path; simplified X drive/idler pulley and timing belt path along X-axis module
left_y_belt_clamp_fastener_-10,xy_belt_clamp_fastener_markers_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:xy_belt_clamp_fastener_markers_v1,belt_clamp; limited belt clamp fastener markers for carriage drive readability
left_y_belt_clamp_fastener_10,xy_belt_clamp_fastener_markers_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:xy_belt_clamp_fastener_markers_v1,belt_clamp; limited belt clamp fastener markers for carriage drive readability
right_y_belt_clamp_fastener_-10,xy_belt_clamp_fastener_markers_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:xy_belt_clamp_fastener_markers_v1,belt_clamp; limited belt clamp fastener markers for carriage drive readability
right_y_belt_clamp_fastener_10,xy_belt_clamp_fastener_markers_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:xy_belt_clamp_fastener_markers_v1,belt_clamp; limited belt clamp fastener markers for carriage drive readability
x_belt_clamp_fastener_-14,xy_belt_clamp_fastener_markers_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:xy_belt_clamp_fastener_markers_v1,belt_clamp; limited belt clamp fastener markers for carriage drive readability
x_belt_clamp_fastener_14,xy_belt_clamp_fastener_markers_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:xy_belt_clamp_fastener_markers_v1,belt_clamp; limited belt clamp fastener markers for carriage drive readability
