sample_id,input_box_id,input_slot_id,row,col,tube_height_mm,cap_color,barcode_status,category,is_abnormal,abnormal_reason,expected_target_zone,notes
MBOX-060,input_box_3,B6,B,6,75,red,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-061,input_box_3,C1,C,1,75,purple,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-062,input_box_3,C2,C,2,100,yellow,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-063,input_box_3,C3,C,3,75,blue,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-064,input_box_3,C4,C,4,75,red,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-065,input_box_3,C5,C,5,100,purple,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-066,input_box_3,C6,C,6,75,yellow,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-067,input_box_3,D1,D,1,75,blue,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-068,input_box_3,D2,D,2,100,red,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-069,input_box_3,D3,D,3,75,purple,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-070,input_box_3,D4,D,4,75,yellow,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-071,input_box_3,D5,D,5,100,blue,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-072,input_box_3,D6,D,6,75,red,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-073,input_box_4,A1,A,1,75,purple,success,Category C,yes,sample_info_mismatch,manual_review,true abnormal sample for Stage 7C policy coverage
MBOX-074,input_box_4,A2,A,2,100,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-075,input_box_4,A3,A,3,75,blue,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-076,input_box_4,A4,A,4,75,red,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-077,input_box_4,A5,A,5,100,purple,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-078,input_box_4,A6,A,6,75,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-079,input_box_4,B1,B,1,75,blue,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-080,input_box_4,B2,B,2,100,red,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-081,input_box_4,B3,B,3,75,purple,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-082,input_box_4,B4,B,4,75,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-083,input_box_4,B5,B,5,100,blue,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-084,input_box_4,B6,B,6,75,red,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-085,input_box_4,C1,C,1,75,purple,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-086,input_box_4,C2,C,2,100,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-087,input_box_4,C3,C,3,75,blue,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-088,input_box_4,C4,C,4,75,red,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-089,input_box_4,C5,C,5,100,purple,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-090,input_box_4,C6,C,6,75,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-091,input_box_4,D1,D,1,75,blue,success,Category D,yes,physical_tube_abnormal,manual_review,true abnormal sample for Stage 7C policy coverage
MBOX-092,input_box_4,D2,D,2,100,red,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-093,input_box_4,D3,D,3,75,purple,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-094,input_box_4,D4,D,4,75,yellow,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-095,input_box_4,D5,D,5,100,blue,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-096,input_box_4,D6,D,6,75,red,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
