scenario_id,task_id,time_range,moving_object,sweep_region,checked_against,collision_risk,status,notes
baseline,TASK-7B1-002,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-215.0,-215.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-002,segment_duration_s=1.02,gripper_tcp_and_tube_proxy,"x[-215.0,0.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-002,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-002,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-002,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-002,segment_duration_s=1.288,gripper_tcp_and_tube_proxy,"x[0.0,330.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-002,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[330.0,330.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-002,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[330.0,330.0] y[-170.0,-170.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-002,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[330.0,330.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-003,segment_duration_s=0.928,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-170.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-003,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-003,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-170.0,-170.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-003,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-003,segment_duration_s=0.968,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-003,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-003,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-003,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-003,segment_duration_s=0.715,gripper_tcp_and_tube_proxy,"x[0.0,180.0] y[10.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-003,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[180.0,180.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-003,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[180.0,180.0] y[10.0,10.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-003,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[180.0,180.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-004,segment_duration_s=0.829,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-170.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-004,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-004,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-170.0,-170.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-004,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-004,segment_duration_s=0.874,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-004,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-004,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-004,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-004,segment_duration_s=1.604,gripper_tcp_and_tube_proxy,"x[-420.0,0.0] y[20.0,275.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-004,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[-420.0,-420.0] y[275.0,275.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-004,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[-420.0,-420.0] y[275.0,275.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-004,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[-420.0,-420.0] y[275.0,275.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-005,segment_duration_s=0.786,gripper_tcp_and_tube_proxy,"x[-115.0,0.0] y[-170.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-005,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-115.0,-115.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-005,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-115.0,-115.0] y[-170.0,-170.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-005,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-115.0,-115.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-005,segment_duration_s=0.835,gripper_tcp_and_tube_proxy,"x[-115.0,0.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-005,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-005,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-005,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-005,segment_duration_s=1.143,gripper_tcp_and_tube_proxy,"x[0.0,330.0] y[10.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-005,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[330.0,330.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-005,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[330.0,330.0] y[10.0,10.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-005,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[330.0,330.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-006,segment_duration_s=1.001,gripper_tcp_and_tube_proxy,"x[-240.0,0.0] y[-145.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-006,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-240.0,-240.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-006,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-240.0,-240.0] y[-145.0,-145.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-006,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-240.0,-240.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-006,segment_duration_s=1.032,gripper_tcp_and_tube_proxy,"x[-240.0,0.0] y[-145.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-006,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-006,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-006,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-006,segment_duration_s=0.999,gripper_tcp_and_tube_proxy,"x[0.0,205.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-006,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[205.0,205.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-006,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[205.0,205.0] y[-170.0,-170.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-006,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[205.0,205.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-007,segment_duration_s=0.883,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-145.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-007,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-007,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-145.0,-145.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-007,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-190.0,-190.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-007,segment_duration_s=0.919,gripper_tcp_and_tube_proxy,"x[-190.0,0.0] y[-145.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-007,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-007,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-007,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-007,segment_duration_s=1.35,gripper_tcp_and_tube_proxy,"x[0.0,355.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-007,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[355.0,355.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-007,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[355.0,355.0] y[-170.0,-170.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-007,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[355.0,355.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-008,segment_duration_s=0.828,gripper_tcp_and_tube_proxy,"x[-165.0,0.0] y[-145.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-008,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-165.0,-165.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-008,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-165.0,-165.0] y[-145.0,-145.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-008,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-165.0,-165.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-008,segment_duration_s=0.867,gripper_tcp_and_tube_proxy,"x[-165.0,0.0] y[-145.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-008,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-008,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-008,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-008,segment_duration_s=0.786,gripper_tcp_and_tube_proxy,"x[0.0,205.0] y[10.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-008,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[205.0,205.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-008,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[205.0,205.0] y[10.0,10.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-008,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[205.0,205.0] y[10.0,10.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-009,segment_duration_s=0.776,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-145.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-009,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-009,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-145.0,-145.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-009,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-140.0,-140.0] y[-145.0,-145.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-009,segment_duration_s=0.818,gripper_tcp_and_tube_proxy,"x[-140.0,0.0] y[-145.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-009,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-009,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-009,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
