tube_id,input_box_id,source_slot_id,tube_present,barcode_status,sample_category,abnormal_flag,abnormal_reason,target_output_box,priority,sample_status,notes
TUBE-7B1-028,input_box_02,R3C2,true,abnormal_sample_info,category_B,true,sample information abnormal,manual_review,1,abnormal_to_manual_review,true abnormal sample routed to manual review
TUBE-7B1-029,input_box_02,R3C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-030,input_box_02,R3C5,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-031,input_box_02,R3C6,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-032,input_box_02,R4C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-033,input_box_02,R4C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-034,input_box_02,R4C4,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-035,input_box_03,R1C1,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-036,input_box_03,R1C2,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-037,input_box_03,R1C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-038,input_box_03,R1C5,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-039,input_box_03,R1C6,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-040,input_box_03,R2C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-041,input_box_03,R2C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-042,input_box_03,R2C4,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-043,input_box_03,R2C5,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-044,input_box_03,R3C1,true,unknown_category,unknown,true,unrecognized category,manual_review,1,abnormal_to_manual_review,true abnormal sample routed to manual review
TUBE-7B1-045,input_box_03,R3C2,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-046,input_box_03,R3C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-047,input_box_03,R3C5,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-048,input_box_03,R3C6,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-049,input_box_03,R4C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-050,input_box_03,R4C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-051,input_box_03,R4C4,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-052,input_box_03,R4C5,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-053,input_box_04,R1C2,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-054,input_box_04,R1C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-055,input_box_04,R1C5,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-056,input_box_04,R1C6,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-057,input_box_04,R2C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-058,input_box_04,R2C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-059,input_box_04,R2C4,true,missing_label,unknown,true,missing label,manual_review,1,abnormal_to_manual_review,true abnormal sample routed to manual review
TUBE-7B1-060,input_box_04,R2C5,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-061,input_box_04,R3C1,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-062,input_box_04,R3C2,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-063,input_box_04,R3C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-064,input_box_04,R3C5,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-065,input_box_04,R3C6,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-066,input_box_04,R4C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-067,input_box_04,R4C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-068,input_box_04,R4C4,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-069,input_box_04,R4C5,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
